date,id,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId
2019-12-30 23:55:48+00:00,1211798071094521857,"Copiar y Pegar 
El 26 abril del 2020

1: ¿Quiere usted una nueva Constitución?
—/— Apruebo
——  Rechazo

2: ¿Qué tipo de órgano debiera redactar la nueva Constitución?
—/— Convención Constitucional
——  Convención Mixta constitucional.

A no olvidar!",1,1,10,1,es,,,,3400784069,RTorresQuevedo,"Jefe cirugia hepática, pancreática y biliar. Hospital Gmo Grant Benavente Concepción - Chile",2015-08-03 01:27:32+00:00,627,"Concepción, Chile",False,None
2019-12-30 23:52:27+00:00,1211797224478461953,@lapetaponce Que se puede esperar de la Convención Constitucional si mi perrita no ha salido a pasear hoy.,1,0,2,0,es,,,"[User(username='lapetaponce', id=233964974, displayname='catalina', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",155738783,catafernandezc,Abogada @uchile | LLM (International Law) @Cambridge_Uni | Mi libro sobre DD.HH (en lenguaje simple) en el link ⬇️,2010-06-14 23:50:04+00:00,27499,"Santiago, Chile 🇨🇱",False,1211796535731720193
2019-12-30 23:45:31+00:00,1211795482344873984,"Luego de la convención constitucional Hamilton le pide ayuda a Burr para que defienda una nueva constitución para los Estados Unidos, Burr se niega rotundamente. En sus propias palabras: https://t.co/0uusFmXuTs",1,0,0,0,es,,,,167263637,jesusdb_,q bello soy me amo,2010-07-16 04:04:21+00:00,2110,"Maracaibo, Venezuela",False,1211795470156255232
2019-12-30 23:29:40+00:00,1211791494358732800,"Mi voto en abril/2020: ⤵️

¿Quiere usted una nueva Constitución?

—/— Apruebo ✅
——  Rechazo

¿Qué tipo de órgano debiera redactar la nueva Constitución?

—/— Convención Constitucional ✅
——  Convención Mixta.",0,0,2,0,es,,,,58945318,freddygalvez,"Socialista pero no militante. Ing Comercial, Magister en Gestión Pública. Miembro de la Red de Desarrollo Territorial para AméricaLatina. Socio del @csdcolocolo",2009-07-21 22:32:50+00:00,2320,,False,None
2019-12-30 22:26:28+00:00,1211775589750857728,"Tenemos que empezar la izquierda a avanzar hacia la nueva Constitución a través de una Convención Constitucional donde el poder popular se centre en el cambio del modelo neoliberal a una socialdemocracia. 
#YoAprueboLaNuevaConstitucion",1,2,3,0,es,,['YoAprueboLaNuevaConstitucion'],,94739197,Torjsu,Abogado y Ambientalista #OrgulloRenquino,2009-12-05 06:15:23+00:00,2652,"Renca, Chile",False,None
2019-12-30 22:17:39+00:00,1211773369340837888,@mechitasdeclavo @Coquiangelica @labconudp Convención Constitucional = Fast Truck para Chilezuela,0,0,1,0,es,,,"[User(username='mechitasdeclavo', id=1544157475267612673, displayname='Mechitas de Clavo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Coquiangelica', id=384035361, displayname='María Angélica 🌻🌻', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='labconudp', id=713801609566928897, displayname='Lab Constitucional', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1194434327221854214,Ricardo57154072,,2019-11-13 01:58:42+00:00,743,,False,1211715402591592449
2019-12-30 21:50:30+00:00,1211766538342223877,Apruebo + Convención Constitucional,0,0,0,0,es,,,,87951213,mariovials,"Dev
Sense seeker",2009-11-06 14:31:39+00:00,458,"Concepción, Chile",False,None
2019-12-30 21:38:21+00:00,1211763477590790148,"1: ¿Quiere usted una nueva Constitución?

—/— Apruebo
——  Rechazo

2: ¿Qué tipo de órgano debiera redactar la nueva Constitución?

—— Convención Mixta 
Constitucional 
—/— Convención Constitucional",0,2,3,0,es,"Place(id='010253bf339b3e84', fullName='Curicó, Chile', name='Curicó', type='city', country='Chile', countryCode='CL')",,,306258805,_AndreaMontoya_,"Madre, Esposa y Periodista.",2011-05-27 15:26:40+00:00,871,"Curicó, Chile",False,None
2019-12-30 21:37:44+00:00,1211763323798261761,"Agradecemos el compromiso del Presidente del @Senado_Chile @senadorquintana para tramitar el proyecto que garantiza PARIDAD en la #ConvenciónConstitucional. Si se cumplen los plazos, el próximo #8M ya será una realidad. ¡¡Seguimos atentas!! 👀 💪🏽 https://t.co/Ft1LJuaZmn",2,13,31,0,es,,"['ConvenciónConstitucional', '8M']","[User(username='Senado_Chile', id=418660662, displayname='Senado Chile', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='senadorquintana', id=76683098, displayname='Jaime Quintana', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",525351120,ncastilo,"Hija de la Educación Pública, carmeliana, abogada @derechouchile. ex Diputada, colocolina, amante de los memes.",2012-03-15 13:02:43+00:00,26126,Chile,False,None
2019-12-30 21:20:15+00:00,1211758925495836673,"Anularías tu voto
Si revisas te darás cuenta que
Convencion constitucional es Asamblea Constituyente
(con otro nombre) https://t.co/c2OAmVCRkJ",0,4,2,0,es,,,,240704081,lgougain,Actuemos HOY para salvaguardar las áreas verdes y el Planeta o no habrá MAÑANA,2011-01-20 15:03:40+00:00,3514,,False,None
