id,date,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId,archivo,keyword
1277705218608824324,2020-06-29 20:47:17+00:00,Hola Convencion Constitucional lovers... van a caer todes todes #Apruebo,0,1,2,0,es,,['Apruebo'],,1207439431285772289,AsambleasMil,"#AsambleaConstituyente
Octubrista",2019-12-18 23:16:42+00:00,729,Chile,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277700106788184065,2020-06-29 20:26:58+00:00,Y se puede leer en ese Arcoiris: #NuevaConstitucion con #ConvencionConstitucional en octubre 2020,0,0,3,0,es,,"['NuevaConstitucion', 'ConvencionConstitucional']",,879183745017933824,crovanos,Animalista. Zurdo x convicción & principios. Profesor. Opino para hacer reflexionar. Fin al sistema neoliberal. Orgulloso del 38%,2017-06-26 03:45:14+00:00,11305,,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277689045313781763,2020-06-29 19:43:01+00:00,"Nuestra carta en @latercera conecta la crisis de información, la venta de @tvn y el plebiscito de Octubre. Qué televisión pública y medios necesita este Chile en crisis? Lea y opine. #AprueboNuevaConstitucion #convencionconstitucional 
https://t.co/UiKZa2efMG https://t.co/ZF0ssO9jXt",0,8,6,0,es,,"['AprueboNuevaConstitucion', 'convencionconstitucional']","[User(username='latercera', id=3222731, displayname='La Tercera', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TVN', id=106502630, displayname='TVN', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1217834680252280837,comitedefensatv,Seminario sobre Medios Públicos 👉🏼 INSCRIBETE: docs.google.com/forms/d/e/1FAI…,2020-01-16 15:43:18+00:00,506,,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277679819057254400,2020-06-29 19:06:21+00:00,"@RaulBasualto @allamand el dinero en las AFP son de sus afiliados por lo que no sería un regalo, con respeto pero es un saco hueas #ChileDesperto #AprueboNuevaConstitucion #convencionconstitucional",0,0,1,0,es,,"['ChileDesperto', 'AprueboNuevaConstitucion', 'convencionconstitucional']","[User(username='RaulBasualto', id=67603363, displayname='____𝑹𝒂ú𝒍 𝑩𝒂𝒔𝒖𝒂𝒍𝒕𝒐', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='allamand', id=67038807, displayname='Andrés Allamand', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",513274812,franelci,"Amante de mi familia, Alboadicto de cuerpo y alma, izquierdoso, disfruto del rock y el sexo. #apruebodesalida #apruebonuevaconstitucion",2012-03-03 15:18:45+00:00,204,,False,1277669210882220034,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277678196096405504,2020-06-29 18:59:54+00:00,"Estamos gobernados con carencia de criterios, en injusticia social, por un déspota que veta las leyes, que quiere más poder. Piñera le hace daño a Chile y la democracia. Pero esto lo vamos a cambiar #Apruebo #ConvencionConstitucional",0,0,0,0,es,,"['Apruebo', 'ConvencionConstitucional']",,941431436,ChepyHerrera,"Educando en casa con ciencias, artes, juegos, libertad, amor por aprender y enseñar... Educar no es escolarizar. Abre tu mente: estudia la vida entera 🍀",2012-11-11 14:34:37+00:00,585,Chile,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277653887219118080,2020-06-29 17:23:19+00:00,@Censelio Porque apoyas la Convención Constitucional si es una ESTAFA. ley 21.200 art 135 no se pueden modificar los tratados internacionales es decir no se tocan los TLC GANE QUIEN GANE. El pueblo exigió en las calles #AsambleaConstituyente ¿x q no está en la papeleta?... https://t.co/Ss1nlRE1o7,0,0,1,0,es,,['AsambleaConstituyente'],"[User(username='Censelio', id=58192120, displayname='El Censelio🦣 ve ri fi ca do', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1207439431285772289,AsambleasMil,"#AsambleaConstituyente
Octubrista",2019-12-18 23:16:42+00:00,729,Chile,False,1277644733729460227,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277652362673479680,2020-06-29 17:17:15+00:00,@FelipeParadaM @mbachelet Convención constitucional... déjame hasta ahí... CÓMPLICE DE UNA ESTAFA... #Nonosrepresentan,0,0,2,0,es,,['Nonosrepresentan'],"[User(username='FelipeParadaM', id=22309781, displayname='Felipe Parada 🔻', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mbachelet', id=4119914644, displayname='Michelle Bachelet', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1207439431285772289,AsambleasMil,"#AsambleaConstituyente
Octubrista",2019-12-18 23:16:42+00:00,729,Chile,False,1277463865652056064,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277623702486728704,2020-06-29 15:23:22+00:00,"Nos falta no solo patearlos en el piso sino q, además, rematarlos el 25 d octubre cuando digamos #NuevaConstitucion con #ConvencionConstitucional",1,1,1,0,es,,"['NuevaConstitucion', 'ConvencionConstitucional']",,879183745017933824,crovanos,Animalista. Zurdo x convicción & principios. Profesor. Opino para hacer reflexionar. Fin al sistema neoliberal. Orgulloso del 38%,2017-06-26 03:45:14+00:00,11305,,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277606783763255296,2020-06-29 14:16:08+00:00,Estamos listos para el plebiscito #ConvencionConstitucional #Apruebo,3,6,7,0,es,,"['ConvencionConstitucional', 'Apruebo']",,3246313601,gabrifsar,Bajo una luna hostil...signos •Versión 5.7• #Twitter me entretiene 😉,2015-05-11 14:04:36+00:00,10543,Chile,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277603264394133505,2020-06-29 14:02:09+00:00,¿Regalando? No sabía qué hacer uso de mi propiedad era un regalo. ¿O ya no es nuestro el dinero entregado para su administración a las AFP? 🤔 #Apruebo @solefalabella #ConvencionConstitucional https://t.co/3OQZ6DpBLV,3,6,19,0,es,"Place(id='01fb944c0dff3d86', fullName='Peñalolén, Chile', name='Peñalolén', type='city', country='Chile', countryCode='CL')","['Apruebo', 'ConvencionConstitucional']","[User(username='solefalabella', id=183699448, displayname='Soledad Fal🅰️bella Feminismo plurinacional 💜', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",182688989,FORyan_,,2010-08-25 04:41:10+00:00,1338,Chile,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277405534275207168,2020-06-29 00:56:27+00:00,"@CabilderosCL Hablar solo de La Constitución del 80 Hecha en Dictadura, No es Informar a la Gente , Es Tratar de Confundir a las Personas !!!
Yo Voto Apruebo Convencion Constitucional!!!!",0,0,0,0,es,,,"[User(username='CabilderosCL', id=4747231275, displayname='Cabilderos.cl #ChileMejora', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",355202273,rosalespinto,"Sin Militancia , de ideas Libres , en Contra de la Injusticia y la Tontera , Pro. Libertad Llanero Solitario.",2011-08-15 00:31:21+00:00,2527,,False,1270141796815904768,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277387556976459777,2020-06-28 23:45:00+00:00,Octubre 2020 comienza 1 nuevo y mejor país #NuevaConstitucion con #ConvencionConstitucional para terminar con lacra del sistema neoliberal https://t.co/8yHg6EafMU,0,1,4,0,es,,"['NuevaConstitucion', 'ConvencionConstitucional']",,879183745017933824,crovanos,Animalista. Zurdo x convicción & principios. Profesor. Opino para hacer reflexionar. Fin al sistema neoliberal. Orgulloso del 38%,2017-06-26 03:45:14+00:00,11305,,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277378948066938881,2020-06-28 23:10:48+00:00,"@GaelDiputada Yo soy de derecha y apoyo en en 100% el apruebo y la convención constitucional ; ojalá que esta causa no sea instrumentalizada por la izquierda, porque   ella pertenece a los todos los chilenos",0,0,2,0,es,,,"[User(username='GaelDiputada', id=2749212142, displayname='Gael Yeomans', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",157160514,pmcarrasco,"Militante RN (Derecha Social); creo en la democracia,el respeto y la tolerancia; admirador de Jorge Alessandri, Patricio Aylwin y Ricardo Lagos.
Casado.",2010-06-19 01:21:12+00:00,1802,"Santiago, Chile",False,1276688571445972993,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277376312030695424,2020-06-28 23:00:19+00:00,"@Kastor_chileno Allende, el apruebo y la convención constitucional están MUERTOS. El próximo fiambre será el comunismo.",0,0,0,0,es,,,"[User(username='Kastor_chileno', id=935643042618531841, displayname='KASTOR chileno -La Música del Alma puede ser Oída-', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",53244248,Licancio11,"No político. Humor, música y naturaleza. No pido permiso a nadie. Directo y un poco sarcástico. Seco pal hueveo.",2009-07-03 00:50:38+00:00,464, Chile Bueno.,False,1277374736696303621,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
1277346153126756352,2020-06-28 21:00:29+00:00,"Solo Dios puede Juzgarme @sebastianpinera se preparó de Enero.

#LeveMejoria
#NuevaConstitucionParaChile
#ConvencionConstitucional
#PiñeraVirus
#Apruebo
#COVID19
#CuarentenaNacional
#coronavirus
#TuSistemaMeMata
#NoDanElAncho
#PineraDictador
#GobiernoCriminal
#ChileQuiereCambios https://t.co/8j6xzUzci3",4,8,16,3,es,,"['LeveMejoria', 'NuevaConstitucionParaChile', 'ConvencionConstitucional', 'PiñeraVirus', 'Apruebo', 'COVID19', 'CuarentenaNacional', 'coronavirus', 'TuSistemaMeMata', 'NoDanElAncho', 'PineraDictador', 'GobiernoCriminal', 'ChileQuiereCambios']","[User(username='sebastianpinera', id=13623532, displayname='Sebastian Piñera', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",934845840782495745,filsdu_soleil,"Conócete tu
Tú mismo
Nadie es más
Nadie es menos
TODOS somos UNO
en la Primera Fuente
JAYAYA
Hermagic@s",2017-11-26 18:06:31+00:00,894,,False,None,Convencion_Constitucional_2020_Q2.csv,Convencion_Constitucional
