id,date,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId,archivo,keyword
1267201703000096769,2020-05-31 21:10:04+00:00,@pricatti @QuikFCO Seria el primer paso seguro. Pero como logramos formar una convención constituyente con estos legisladores?,0,0,0,0,es,,,"[User(username='pricatti', id=2533990031, displayname='Pablo Ricatti', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='QuikFCO', id=106759104, displayname='Enrique Quintana', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",258594864,ferpasca,"Abogado UBA. Especializacion Derecho Penal U. Austral! Judicial de sangre. Amante del Deporte, la Economia y la Politica!                           Vatuit S.A.",2011-02-28 02:00:00+00:00,290,Argentina,False,1267201453027926018,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1267157245588094978,2020-05-31 18:13:24+00:00,@waldocarrasco Más insumos para la Convención Constituyente,0,0,0,0,es,,,"[User(username='waldocarrasco', id=73534414, displayname='Waldo Carrasco', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3326046591,RepFederalChile,"#ChileFederal: nueve estados federados y un distrito federal, trabajando juntos por el desarrollo del país.",2015-06-15 02:57:43+00:00,7680,Chile,False,1267156353493188611,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1267127820825870340,2020-05-31 16:16:29+00:00,"@inchetabot Si, caben bacheletistas, laguistas, y todos a quienes elija el pueblo en la convención constituyente. Si hay tanto bacheletista y laguista, deberíamos tener un poquito mas de humildad y respetar a esa gente.",1,0,0,0,es,,,,71917298,Coke92,"Viñamarino, abogado de Valpo. Tienda virtual: @Intelpet IG: instagram.com/intelpetchile?… 🐶🐱",2009-09-05 23:30:36+00:00,2661,Viña del Mar,False,1267127100852572164,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1267117782929412101,2020-05-31 15:36:36+00:00,"Codina y Lavin fijacion de precios molesta a la derecha le pone fijación ética jajajajaja se parece a cambiar asamblea constituyente por convención constituyente,estos personajes dla derecha se superan día a día. #CoronavirusChile igual Codina es más creíble q el payaso de alavin",0,2,1,0,es,,['CoronavirusChile'],,108456486,buhoazul2010,DE CORAZÓN AZUL PROFUNDO- BIEN A LA IZQUIERDA CASI AL RINCÓN,2010-01-26 00:45:48+00:00,2111,Viña del Mar,False,None,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1267063819114774529,2020-05-31 12:02:10+00:00,"@ProvosteYasna Ya no tiene credibilidad señora @ProvosteYasna me abstengo, déjele también eso a la convención constituyente y que decida la ciudadanía.",0,0,0,0,es,,,"[User(username='ProvosteYasna', id=2730306924, displayname='Yasna Provoste Campillay', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ProvosteYasna', id=2730306924, displayname='Yasna Provoste Campillay', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",100012996,fenix01234,,2009-12-28 18:20:31+00:00,612,chile,False,1266940846932463617,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1266940848853442561,2020-05-31 03:53:31+00:00,Jajajaja se me ocurren muchas pero por mi personalidad me bloquearía y diría lo que se me venga la cabeza partiendo por el #YoApruebo #ConvencionConstituyente y representatividad a nuestros #PueblosOriginarios... eso es fijo!... el resto lo que venga!,0,0,0,0,es,,"['YoApruebo', 'ConvencionConstituyente', 'PueblosOriginarios']",,168961402,jorge_ptm_chile,#APS 🇨🇱 #EstadoPlurinacional #SaludYEducacionDeCalidadYParaTodos #AguaDerechoHumano #PerspectivaDeGenero #ViviendaDigna #SancionesEjemplaresAntiCorrupcion,2010-07-21 05:34:59+00:00,10742,Puerto Montt,False,None,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1266920503241060352,2020-05-31 02:32:40+00:00,"@Paolafierro Votemos en la convención constituyente, ahí veremos cuanto es nuestro peso.",0,0,1,0,es,,,"[User(username='Paolafierro', id=105040384, displayname='Pola', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",71917298,Coke92,"Viñamarino, abogado de Valpo. Tienda virtual: @Intelpet IG: instagram.com/intelpetchile?… 🐶🐱",2009-09-05 23:30:36+00:00,2661,Viña del Mar,False,1266916955396677634,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1266912617496444930,2020-05-31 02:01:20+00:00,El plebiscito y la convención constituyente no es lo mismo con 7% de cesantia que con 20%.,0,0,0,0,es,,,,52257319,rhcgoe,"Contador auditor, Ing en control de gestión, soy capaz de recitar linea a línea las 3 volver al futuro.",2009-06-30 01:22:17+00:00,527,"Peñalolén, Chile",False,None,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1266912064699850755,2020-05-31 01:59:08+00:00,"Wn, con lo k está pasando con esta pandemia a nivel país, no necesitamos más razones para + APRUEBO  + CONVENCIÓN CONSTITUYENTE",0,0,0,0,es,,,,1641452262,llenaor,,2013-08-02 22:40:02+00:00,143,,False,None,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
1266884347996581889,2020-05-31 00:09:00+00:00,"@eugenioseverin @maylwino Y ese sique es un problemaso en su sociedad, pero no la veo llamando a una convención constituyente ... y eso que la constitución entro en vigor en 1789... por lo menos yo si me estoy cuestionando mi voto.",0,0,1,0,es,,,"[User(username='eugenioseverin', id=55113379, displayname='Eugenio Severin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='maylwino', id=101614836, displayname='Mariana Aylwin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",342186464,felipegonzale36,Estudiante Ing Comercial. 🇨🇱 Liberal.,2011-07-25 16:29:32+00:00,271,,False,1266873248517677057,Convencion_Constituyente_2020_Q2.csv,Convencion_Constituyente
