id,date,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId
1454960992987746307,2021-10-31 23:58:27+00:00,"Sinceramente espero que del proceso constituyente salga una buena constitución y así se para la canción de la constitución ilegítima de Ricardo Lagos , aún que poca fe le tengo al lote de los constituyentes!!",0,0,0,0,es,,,,163205198,BrunoVyhmeister,"Ingeniero Agrónomo , Chileno , Emprendedor, Padre de Amalia, Bruno y Leon !",2010-07-05 20:36:06+00:00,719,Chile,False,None
1454931526387335168,2021-10-31 22:01:21+00:00,@enfermera_PM @Mayafernandeza @soledadbarria @gabrielboric Asumir que solo candidatos/as de AD pueden colaborar al buen gobierno de Boric y acompañar el proceso constituyente no es lo mío.,2,0,1,0,es,"Place(id='019f2f4e187ace41', fullName='Ñuñoa, Chile', name='Ñuñoa', type='city', country='Chile', countryCode='CL')",,"[User(username='enfermera_PM', id=179294643, displayname='Clara Pinto M.🙋🏻\u200d♀️', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Mayafernandeza', id=154162544, displayname='Maya Fernandez Allende', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='soledadbarria', id=195354054, displayname='Soledad Barría Iroumé', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GabrielBoric', id=73981088, displayname='Gabriel Boric Font', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",875736576,LyaGonzalez1,"El triunfo del #Apruebo se disputará en la calle, en las poblaciones, en los comités, JJVV,          club deportivo.  cara a cara y puerta a puerta.   🌳♥️✊🏻",2012-10-12 14:28:18+00:00,13849,Chile,False,1454903254534397961
1454925956251009026,2021-10-31 21:39:13+00:00,El proceso constituyente en chile no es una asamblea es una convención para la redacción de una nueva constitución y esta debe ser aprobada o rechazada mediante votación en un proceso que es paritario,0,0,0,0,es,,,,1455702691,DisipandoElHumo,"Estudie afuera, no me chapé a las cayo, no uso casaca northface en lima y no te amenazo con mi papá ya soy alguien en la vida... aun eres pobre wannabe limeño",2013-05-25 01:17:03+00:00,55,surco,False,None
1454919917887705090,2021-10-31 21:15:14+00:00,"@ututo2000 @abrosler @OSammartino @mjgmansilla @emerrerre El caso chileno es un laboratorio. Las movilizaciones en octubre de 2019 clamaron por un cambio relevante de las reglas de juego, Piñera se vio forzado a lanzar el proceso constituyente y al momento de elegir convencionales la participación electoral fue del 40%.",1,0,1,0,es,,,"[User(username='ututo2000', id=1430150065, displayname='Ricardo Ramírez-Calvo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='abrosler', id=74176581, displayname='Andrés Rosler', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OSammartino', id=339254354, displayname='O. Pérez Sammartino', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mjgmansilla', id=4374503453, displayname='MJGM', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='emerrerre', id=195977227, displayname='M.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",71370207,christilcara,Argentina-Alemania-Tilcara-Buenos Aires-San Isidro-Editor de libros-Música Clásica-Rock-Folklore,2009-09-03 21:54:59+00:00,2773,Buenos Aires,False,1454914487815974913
1454916732351614980,2021-10-31 21:02:34+00:00,"@JuanaSanhuezaR2 Lo sensato es elegir a alguien que convoque y no divida y que prepare un escenario de paz, diálogo y de acuerdos para brindarle un contexto de estabilidad al proceso constituyente. Seamos realistas y tengamos sentido común. Para esto no veo a nadie más más que a Yasna Provoste.",0,0,0,0,es,,,"[User(username='JuanaSanhuezaR2', id=1063986798261612544, displayname='Juana Sanhueza R', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",66224064,hualane,"Abuelo de cuatro nietos que, estoy seguro, seràn la salvaciòn de Chile.",2009-08-16 23:58:03+00:00,96,,False,1454823871383683079
1454912330865668107,2021-10-31 20:45:05+00:00,"@jfranciscosr De aquí a marzo saldrá todo lo que tiene que salir, sea quien sea el que gane la elección. Chile seguirá con la incertidumbre hasta por lo menos un par de años, pues hay un proceso constituyente que no se sabe como culminará.",1,1,2,0,es,"Place(id='0150459b5095a59f', fullName='Concepción, Chile', name='Concepción', type='city', country='Chile', countryCode='CL')",,"[User(username='jfranciscosr', id=257316613, displayname='Francisco Silva', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1063986798261612544,JuanaSanhuezaR2,"Abogada UdeC, orgullosa de mi profesión y de haber servido- por 39 años- como académica en Derecho-UdeC.
Nacida en Temuco-Región de la Araucanía.",2018-11-18 02:46:35+00:00,6361,,False,1454911114840395780
1454911518441709573,2021-10-31 20:41:51+00:00,"Una sola es la justicia, por Lucy Oporto Valencia.

Una explicación compleja para un tema complejo: la violencia que hoy recorre #Chile como hipotética causa del proceso constituyente:

https://t.co/suOWL3wcHC",0,0,1,0,es,,['Chile'],,201413739,Mangeles_HM,"PhD CiPol, analista política, consultora y mentora |
Ex presidenta @AccpChile, #IVLP, presidenta @Hay_Mujeres |
@Amarelmundo 📲 📣💻 📝| Madre de 👫 |
💛🏊🚴📚",2010-10-11 20:07:48+00:00,14232,Coruña/Salamanca🇪🇦~Chile🇨🇱,False,None
1454909653117280262,2021-10-31 20:34:26+00:00,"@ututo2000 @abrosler @OSammartino @mjgmansilla @emerrerre Si es que se aprueba. El proceso constituyente chileno tiene algo que no he visto en otros casos: un ""plebiscito de salida"". La ciudadanía tiene que aprobar el nuevo texto. El plebiscito es obligatorio, mientras que el voto es voluntario. 🤔🙄",1,0,1,0,es,,,"[User(username='ututo2000', id=1430150065, displayname='Ricardo Ramírez-Calvo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='abrosler', id=74176581, displayname='Andrés Rosler', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OSammartino', id=339254354, displayname='O. Pérez Sammartino', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mjgmansilla', id=4374503453, displayname='MJGM', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='emerrerre', id=195977227, displayname='M.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",71370207,christilcara,Argentina-Alemania-Tilcara-Buenos Aires-San Isidro-Editor de libros-Música Clásica-Rock-Folklore,2009-09-03 21:54:59+00:00,2773,Buenos Aires,False,1454908707624660992
1454908882195607554,2021-10-31 20:31:23+00:00,"Si las encuestas esta vez dicen la verdad no me cabe en la cabeza q una buena parte de los q votaron Apruebo hoy voten por Kast. No les compro que se hayan decepcionado del proceso constituyente por q no se trata de ser un mero espectador, se trata de defender tus convicciones.",0,0,24,0,es,,,,1272197786054922241,Tweets07217229,Fallo. Nacido en Lota Sorprendente. Me declaro en etapa de evolución desde lo cognitivo a lo emocional. Trato a mi perro como persona. Estado social de derecho.,2020-06-14 16:02:54+00:00,2614,"Concepción, Chile",False,None
1454908503093620741,2021-10-31 20:29:52+00:00,"En el #medelaciberseguridad, una última reflexión de #ciberseguridad. En tiempos de elecciones, del #procesoconstituyente debemos estar más atentos. #ciberseguridadparatodos es de sentido común y nos invita a; desconfiar, revisar,…https://t.co/g3HLnC4v8d https://t.co/dFQsEe417K",0,0,0,0,es,,"['medelaciberseguridad', 'ciberseguridad', 'procesoconstituyente', 'ciberseguridadparatodos']",,1353474206,Icursocl,"Consultor, Relator de Seguridad Integral y TI. Productos y Servicios de Tecnología, Internet de las Cosas (IoT) y Seguridad.",2013-04-15 04:44:08+00:00,31,Santiago,False,None
