id,date,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId
1565122821977559040,2022-08-31 23:42:13+00:00,@Caromezapr La convención constitucional nace de la violencia en las calles…,1,0,1,0,es,,,"[User(username='Caromezapr', id=351893979, displayname='Carolina Meza Prambs', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",710524589303058432,ribanezs,"Padre de una Princesa que NO debiese crecer, responsable, puntual, comprometido, haciendo cambios por un mañana mejor.",2016-03-17 17:53:57+00:00,1124,"Las Condes, Chile",False,1564951972855181312
1565121741931786240,2022-08-31 23:37:56+00:00,"@PedroPascal1 Libre de Corrupción  ?es un hecho comprobado los enormes gastos que costó la Convención Constitucional, para hacer el Mamarracho histórico y los amigos en puestos clave.
Libre de Violencia ? El Estallido Delictual le pasa la cuenta, también La Araucanía y todo Chile.
ABUSOS: JÁ",0,0,0,0,es,,,"[User(username='PedroPascal1', id=1645711686, displayname='Pedro Pascal he/him', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1348357098292334593,Jotaerrefe47,,2021-01-10 19:53:08+00:00,11,,False,1565072317654487040
1565121626961809408,2022-08-31 23:37:29+00:00,En caso de ganar el Rechazo: presidente del PC asegura que se debe formar una nueva Convención Constitucional con las mismas características que la elegida en 2020 - La Tercera https://t.co/Fgo2DMTwME,0,1,0,1,es,,,,541139859,etoledog,,2012-03-30 19:06:35+00:00,35887,Santiago de Chile ,False,None
1565121277282713603,2022-08-31 23:36:05+00:00,@benigno_malo Convención Constitucional: 0 APORTE !,0,0,0,0,es,,,"[User(username='benigno_malo', id=58566278, displayname='Benigno Malo 👹', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",863961722,pcsandov,,2012-10-06 01:44:45+00:00,1134,,False,1564775966534164480
1565120584555560962,2022-08-31 23:33:20+00:00,"@Alejand65630467 El CORRUPTO de Fulvio Rossi admitió que prefiere la Carta de 1980 por sobre la propuesta de la Convención Constitucional.

Prefiere defender los vestigios de la dictadura asesina, que no tienen ninguna legitimidad moral ni democrática.

He ahí la verdadera cara del Rechazo.",0,0,0,0,es,,,"[User(username='Alejand65630467', id=1229394630007017473, displayname='Alejandro G', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",4827898522,FuenzaH,"Voté #APRUEBO y perdí... y créeme que volvería a perder mil veces más.
Porque creo en la solidaridad. No en la caridad ni en la lástima.",2016-01-19 22:34:45+00:00,507,,False,1565069439170580480
1565120386202685441,2022-08-31 23:32:33+00:00,"Ojo con esto!!! Los de siempre (representantes elegidos por nadie) en las perdidas quieren modificar lo que personas democráticamente elegidas (convención constitucional), y con votaciones mayoritarias dejaron claramente establecidas para la nueva constitución",0,0,0,0,es,,,,1216727334398590977,chechotec2019,Haciendo y no diciendo Por un país y un mundo mejor,2020-01-13 14:24:03+00:00,182,,False,None
1565119313400549378,2022-08-31 23:28:17+00:00,"Este tipo que hizo NADA en la Convención Constitucional (ah fue sancionado por fakenews) tiene el descaro de funar a una persona que tira un chiste y expone sus datos.
Él también fue parasitó en el gobierno de Piñera como intendente de Ñuble.
Qué hizo por los discapacitados? 🤔",0,0,0,0,es,,,,386955299,AguaDeHierbas,"Amarga según la gente básica. Quizá tengo un cupo asegurado en el infierno aun así #UnPanDeDios 😇 #Ogro PS: no me encasillen, en nada! 😌",2011-10-08 06:29:35+00:00,2807,"Santiago, Chile",False,None
1565097587467702272,2022-08-31 22:01:57+00:00,"@Cototudo2 @fas1966 @Jimena_1967 @en_ivonne @Maraboli65 @macapatriota @d_rojas_75 @romorenob @Matiasright @koelner_haie @Navalina41 @Clabbem Desde hace más de un año que #Rechazo a los delincuentes de la Convención Constitucional y hoy también #RechazoElMamarrachoComunista 
#RechazoGanaEl4deSeptiembre 
#RechazoPorChile 
#RechazoConMiBandera https://t.co/x6u6Qa16fw",0,7,7,0,es,,"['Rechazo', 'RechazoElMamarrachoComunista', 'RechazoGanaEl4deSeptiembre', 'RechazoPorChile', 'RechazoConMiBandera']","[User(username='Cototudo2', id=1242514940994285568, displayname='Cototudo Patriota 💪🏼 🇨🇱 ❤ 😷', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='fas1966', id=178407252, displayname='Fernando 💪🇨🇱👊', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Jimena_1967', id=202913353, displayname='Jimena es mi nombre y soy Pinochetista', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='en_ivonne', id=1425264024493637632, displayname='Ivonne Rechazo 🇨🇱', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Maraboli65', id=569680796, displayname='Rodrigo Maraboli', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='macapatriota', id=167946333, displayname='𝕄&𝕄🇨🇱', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='d_rojas_75', id=1439637426700435457, displayname='Daniel Rojas DevHack', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Matiasright', id=1535498901926600704, displayname='Matías Varas⚓🇨🇱', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='koelner_haie', id=336168807, displayname='RECHAZO SALVA A CHILE', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Navalina41', id=264792223, displayname='Clau Huerta 💙 ⚓', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Clabbem', id=79507223, displayname='Cristián Labbé M.', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1424539322175430656,DanielKOBrien,"Dios-Patria-Familia
{🇨🇱Chilean/American Citizen 🇺🇸}
ANTICOMUNISTA 
Sobreviviente de la Unidad Popular
62%. Voto Republicano. #RechazoOtraConstitucion Dic-23",2021-08-09 01:14:28+00:00,3700,"Chile/Oklahoma, USA",False,1564760212862533632
1565093957306122241,2022-08-31 21:47:32+00:00,"#HoyEsNoticiaCNN Hasta que lo logro Gonzalo de la Carrera... e insiste porque sabe que no hay sancion. Paso lo mismo en la #convencionconstitucional con los de derecha... puro show y lo importante no es  conversado...#contigoendirectochv #AprobarEsHumano 
https://t.co/vqKhYGDejT",0,0,0,0,es,,"['HoyEsNoticiaCNN', 'convencionconstitucional', 'contigoendirectochv', 'AprobarEsHumano']",,118374676,capj1970,Ex-seleccionado de Waterpolo🤽🏽‍♂️ de Chile🇨🇱 . Envueltos en misteriosos conjuros y con la prisa de no equivocarnos demasiado: ¡Hasta la victoria siempre! 🇪🇸.,2010-02-28 13:40:23+00:00,993,"Junto al camino, Guadalajara",False,None
1565093657488740352,2022-08-31 21:46:20+00:00,"Año 2047: 
-""¿Y tú que hiciste cuando fue la convención constitucional?""
- ""Voté rechazo, porque pensé que me iban a quitar la casa""
-""¡Ay, no! ¡Papá que verguenza..!""",0,9,35,1,es,,,,176951918,vktfg,Sociólogo preguntón. Esposo y papá asombrado. Wanderino fiel.,2010-08-10 21:46:34+00:00,3039,,False,None
