id,date,rawContent,replyCount,retweetCount,likeCount,quoteCount,lang,place,hashtags,mentionedUsers,user_id,user_name,user_renderedDescription,user_join_date,user_followers,user_location,user_verified,inReplyToTweetId,archivo,keyword
1212159352922165252,2019-12-31 23:51:25+00:00,"Llego la etapa 5 del proceso ,que significa aislar el gobierno. El proceso Constituyente una vez iniciada ,se creará un estado paralelo. Lz.",0,0,0,0,es,,,,1205063684629905408,2020Proceso,,2019-12-12 09:56:02+00:00,27,"Bruselas, Bélgica",False,None,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212152568362782720,2019-12-31 23:24:27+00:00,"¡Quienes quieran llevar esta actividad a su territorio deben comunicarse con @HuellaLocal y @ProBonoChile!
Queremos q todas/os participen informados y contribuir al sano debate sin caricaturas ni sesgos.
#procesoconstituyente #NuevaConstitucionParaChile 
@Chile_2100
@pvalenzuelam",0,4,3,0,es,,"['procesoconstituyente', 'NuevaConstitucionParaChile']","[User(username='HuellaLocal', id=788040656811913216, displayname='HuellaLocal', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ProBonoChile', id=93423112, displayname='Fundación Pro Bono', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Chile_2100', id=956741411214311424, displayname='Fundación #Chile2100', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2325949597,VialGonzalo,"Cofundador de HuellaLocal.cl y GrupoVias.cl
Tenismesista 🏓 de Recoleta;
AshokaFellow;
Profe Desarrollo Local UC;
#VamosColoColo",2014-02-03 19:32:14+00:00,1920,,False,None,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212151686816522241,2019-12-31 23:20:57+00:00,"@Dariensilvat Hay muchos que estan en contra de como se esta llevando este proceso constituyente, pero para que este sea ciudadano y no político. Por lo que la gran mayoría pretende y quiere cambiar las cosas, no por un tema político, sino por los deseos de tener un país justo y transparente",0,0,0,0,es,,,"[User(username='Dariensilvat', id=881592220972920832, displayname='DRN en Chilezuela 🇨🇱', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",217611062,maop14,Dentro del porcentaje que sigue creyendo en un Chile mejor...,2010-11-20 00:37:18+00:00,346,"Concepción, Chile",False,1211917432862003200,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212150836379426816,2019-12-31 23:17:34+00:00,"Además de todos los deseos individuales, el mayor deseo colectivo está ligado a mi tierra natal:que emerja un nuevo Chile, más igualitario,solidario, justo. Y que el proceso constituyente sea con todes, con pueblos indígenas, mujeres, y que destierre el neoliberalimo pinochetista https://t.co/xEYTXPfDzt",0,0,4,1,es,,,,937872495906091009,AnaKatiat,"Abogada (UNCuyo) Doctora en Ciudadanía y Derechos Humanos (UB) Master en UB y UdG, feminista, guevarista, Foucaultiana, cantante y ciclista apasionada 🇦🇷🇨🇱",2017-12-05 02:33:22+00:00,253,"Ciudad Autónoma de Buenos Aires, Argentina",False,None,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212150669152587779,2019-12-31 23:16:54+00:00,El proceso constituyente debe hacer con #ParidadDeGenero #MRCNN,0,0,0,0,es,"Place(id='014f394f11cda9e4', fullName='Iquique, Chile', name='Iquique', type='city', country='Chile', countryCode='CL')","['ParidadDeGenero', 'MRCNN']",,464006774,RodrigoVarasLpe,"Periodista especializado en Medios Digitales UNIACC y #SoyAzul hasta la muerte, sigan mi cuenta profesional @hombredenoticia y mi cuenta deportiva @AccionDepo",2012-01-14 18:44:11+00:00,7543,iquique,False,None,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212150221842632705,2019-12-31 23:15:08+00:00,"Diputadas y senadoras desde @RNchile   al PC se reúnen para tratar #paridad de género en el proceso constituyente @MarceSabat @nonaossandon 

https://t.co/Jjjfcas6ZN https://t.co/VAggZ4o2XI",5,0,3,0,es,,['paridad'],"[User(username='RNchile', id=7769652, displayname='Renovación Nacional 🇨🇱', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MarceSabat', id=34359402, displayname='Marcela Sabat Fernández', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='nonaossandon', id=264957110, displayname='Ximena Ossandón', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",164426316,DiputadosRN,"Cuenta Oficial Bancada Diputados de #RN 
Impulsamos La Campaña 💰""Mis Ahorros, Mi Dinero: #LibertadParaElegir",2010-07-08 21:19:49+00:00,33381,Chile,False,None,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212147420676677634,2019-12-31 23:04:00+00:00,Hoy estuvimos en el Servel presentando la escritura y firmas. Tuvimos observaciones  que resolveremos pero hemos iniciado el camino. No hay vuelta atras para que los independientes puedan participar en proceso constituyente !!  https://t.co/5kmZEupx3m,2,19,37,1,es,,,,1203757117821374471,MOVPCD,Por una Constitución Democrática,2019-12-08 19:24:25+00:00,1171,,False,None,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212140358324359170,2019-12-31 22:35:56+00:00,@PiensaPrensa En ves de organizar una cena deberían estar organizando un proceso constituyente para quitarle el poder a estos payasos.,0,0,0,0,es,,,"[User(username='PiensaPrensa', id=3517444829, displayname='PIENSAPRENSA 318 mil Seguidores', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",959296812,matixviveros,,2012-11-20 02:17:28+00:00,5,,False,1212082728058916864,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212137213288484864,2019-12-31 22:23:26+00:00,@24HorasTVN Sólo les importa destruir y amedrentarnos para que iniciemos un proceso constituyente chavista. Por eso yo #rechazo,0,0,0,0,es,,['rechazo'],"[User(username='24HorasTVN', id=90227660, displayname='24 Horas', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1206584169456979969,CombatienteMama,"Mamá de 4, Ing Civil 🇨🇱 - MBA 🇺🇸 , peleo en Twitter y en vida real por la libertad y democracia de Chile.",2019-12-16 14:37:54+00:00,2388,Chile,False,1212005318814830593,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
1212134955721068545,2019-12-31 22:14:28+00:00,"Cada día pierdo más fe en el proceso constituyente. La idea era que fuese distinto al del 80, pero la polarización es igual o peor, lástima, estamos condenados a ser un país bananero.",0,0,2,0,es,"Place(id='5e02a0f0d91c76d2', fullName='İstanbul, Türkiye', name='İstanbul', type='city', country='Turkey', countryCode='TR')",,,917471449614635010,TheAmzStranger,🏆🏆🏆🏆🇫🇮,2017-10-09 19:26:54+00:00,1007,,False,None,Proceso_Constituyente_rezagado_1.csv,Proceso_Constituyente
